"search.str";"lat";"lon"
"Myrcia hartwegiana";-20,369083;-43,508472
"Solanum cernuum";-20,269694;-43,297194
"Vochysia thyrsoidea";-20,502556;-43,6295
"Schinus terebinthifolia";-20,377778;-43,416111
"Annona muricata";-20,377778;-43,416111
"Syzygium cumini";-20,377778;-43,416111
"Siparuna brasiliensis";-20,377778;-43,416111
"Bathysa australis";-20,377778;-43,416111
"Euplassa rufa";-20,434878;-43,509672
"Solanum swartzianum";-20,429844;-43,509703
"Symplocos celastrinea";-20,429844;-43,509703
"Solanum pseudoquina";-20,419917;-43,513278
"Solanum mauritianum";-20,282611;-43,044806
"Solanum lycocarpum";-20,341806;-43,286694
"Byrsonima crassifolia";-20,341806;-43,286694
NA;NA;NA
"Araucaria angustifolia";-20,383889;-43,493611
"Plinia peruviana";-20,383889;-43,493611
"Miconia theaezans";-20,43;-43,507222
"Pleroma candolleanum";-20,430278;-43,507222
"Diospyros kaki";-20,383889;-43,493611
"Sapium glandulosum";-20,43;-43,507778
"Vernonanthura discolor";-20,428056;-43,505
"Ilex theezans";-20,431944;-43,508889
"Handroanthus albus";-20,383889;-43,493611
"Urera baccifera";-20,383889;-43,493611
"Solanum betaceum";-20,383889;-43,493611
"Citrus reticulata";-20,383889;-43,493611
"Syzygium jambos";-20,383889;-43,493611
"Averrhoa carambola";-20,383889;-43,493611
"Trembleya laniflora";-20,475278;-43,550278
"Eremanthus crotonoides";-20,383333;-43,5
"Berberis laurina";-20,395833;-43,575833
"Cestrum schlechtendalii";-20,473028;-43,469083
"Cyathea dichromatolepis";-20,47925;-43,429028
"Cyathea corcovadensis";-20,431944;-43,488889
"Miconia longicuspis";-20,833333;-43,488889
"Inga sessilis";-20,431944;-43,488889
"Hirtella floribunda";-20,421917;-43,443611
"Ocotea nutans";-20,420306;-43,448861
"Ilex euryaeformis";-20,431944;-43,488889
"Hedyosmum brasiliense";-20,431944;-43,488889
"Vismia parviflora";-20,43225;-43,507417
"Cupania vernalis";-20,427194;-43,510194
"Miconia valtheri";-20,438;-43,524222
"Aegiphila integrifolia";-20,427194;-43,510194
"Cyathea villosa";-20,883333;-43,498056
"Sambucus australis";-20,377778;-43,416111
"Citrus ×limon";NA;NA
"Inga vulpina";-20,369583;-43,507806
"Eremanthus glomerulatus";-20,382069;-43,506397
NA;NA;NA
NA;NA;NA
"Ricinus communis";-20,377778;-43,416111
NA;NA;NA
"Mangifera indica";-20,377778;-43,416111
"Pereskia grandifolia";-20,377778;-43,416111
"Calliandra tweedii";-20,383889;-43,493611
"Persea americana";-20,383889;-43,493611
NA;NA;NA
"Citrus ×aurantium";NA;NA
"Stryphnodendron polyphyllum";-19,397;-43,401611
"Inga barbata";-20,418139;-43,444639
"Siphoneugena crassifolia";-20,439361;-43,520028
"Hymenaea courbaril";-20,766029;-42,869728
"Urera caracasana";-19,494444;-40,306667
"Erythroxylum deciduum";-20,259722;-43,412222
"Senegalia polyphylla";-19,531389;-40,733056
"Inga vera";-19,383889;-42,418056
"Palicourea blanchetiana";-20,298611;-43,214167
"Alseis floribunda";-19,988056;-42,6925
"Lonchocarpus cultratus";-18,859444;-41,863611
"Vernonanthura petiolaris";-19,7;-42,6
"Myrcia subalpestris";-20,254722;-43,375
"Dalbergia miscolobium";-19,990278;-42,695556
"Aloysia virgata";-20,264444;-43,127222
"Ocotea glomerata";-19,391389;-40,072222
"Austrocritonia angulicaulis";-19,77;-42,6
"Couepia monteclarensis";-19,15;-40,5
"Miconia nervosa";-18,975556;-40,769444
"Xylosma benthamii";-19,741389;-40,981111
"Campomanesia guazumifolia";-18,975556;-40,769444
"Andira ormosioides";-18,875556;-40,814444
"Xylosma prockia";-19,979825;-40,763742
"Myrcia plusiantha";-18,875556;-40,814444
"Schizocalyx cuspidatus";-18,875556;-40,814444
"Wunderlichia azulensis";-18,975556;-40,769444
"Tontelea passiflora";-18,975556;-40,769444
"Miconia flammea";-19,741389;-40,981111
"Seguieria langsdorffii";-19,814167;-40,678056
"Ficus obtusiuscula";-19,814167;-40,678056
"Parapiptadenia pterosperma";-19,662222;-41,036667
"Anadenanthera peregrina";-19,823889;-40,655278
"Rudgea minor";-19,760833;-40,739444
"Persea rufotomentosa";-19,275833;-40,463333
"Trichilia magnifoliola";-19,275833;-40,463333
"Miconia pusilliflora";-19,275833;-40,463333
"Bunchosia macilenta";-19,805556;-40,681389
"Inga striata";-19,248611;-40,416111
"Cordia trichoclada";-18,944167;-40,798611
"Myrcia cerqueiria";-19,348333;-40,551111
"Pavonia alnifolia";-19,906111;-40,601944
"Bauhinia forficata";-18,875556;-40,814444
"Cyathea phalerata";-18,875556;-40,814444
"Verbesina glabrata";-19,275833;-40,463333
"Sorocea racemosa";-19,275833;-40,463333
"Meliosma sellowii";-18,875556;-40,814444
"Abarema barnebyana";-18,875556;-40,814444
"Macrotorus utriculatus";-18,875556;-40,814444
"Hirtella insignis";-18,875556;-40,814444
"Anadenanthera colubrina";-19,57;-41,229444
"Senna cana";-19,6925;-41,007778
"Allophylus semidentatus";-19,806889;-40,676528
"Amburana cearensis";-19,57;-41,229444
"Erythroxylum citrifolium";-19,903056;-40,568611
"Cnidoscolus oligandrus";-19,805556;-40,681389
"Pachystroma longifolium";-19,805556;-40,681389
"Euphorbia comosa";-19,805556;-40,681389
"Licaria debilis";-19,906111;-40,601944
"Guarea guidonia";-19,848333;-40,722222
"Clusia aemygdioi";-19,979825;-40,763742
"Tabebuia reticulata";-20,076667;-41,046389
"Clusia melchiorii";-19,741389;-40,981111
"Picramnia glazioviana";-19,741389;-40,981111
"Leandra quinquenodis";-19,741389;-40,981111
NA;NA;NA
"Pilocarpus spicatus";-19,805111;-40,691611
"Sorocea hilarii";-19,807917;-40,67475
"Manihot tripartita";-19,760833;-40,739444
"Guatteria campestris";-19,288056;-40,465556
NA;NA;NA
"Lecythis pisonis";-19,248889;-40,416389
"Dalbergia nigra";-19,288056;-40,465556
"Pourouma guianensis";-19,288056;-40,465556
"Crateva tapia";-19,146389;-40,457778
"Sloanea hirsuta";-19,282722;-40,464361
"Eugenia melanogyna";-19,143194;-40,460889
"Pavonia crassipedicellata";-19,288056;-40,465556
"Mollinedia glabra";-19,146389;-40,457778
"Pradosia lactescens";-19,751111;-40,934722
"Myrcia ferruginosa";-19,751111;-40,934722
"Senegalia irwinii";-19,288056;-40,465556
"Ternstroemia cuneifolia";-19,803333;-40,7725
"Brasiliopuntia brasiliensis";-19,248889;-40,416389
"Capparidastrum frondosum";-19,143194;-40,460889
"Casearia decandra";-19,348333;-40,551111
"Zanthoxylum tingoassuiba";-19,348333;-40,551111
