"search.str";"lat";"lon"
"Eugenia platyphylla";-19,247222;-40,455278
"Pavonia calyculosa";-19,219167;-40,536667
"Pilocarpus riedelianus";-19,887222;-40,795833
"Eugenia neosilvestris";-19,760833;-40,739444
"Casearia luetzelburgii";-19,848333;-40,722222
"Tontelea tenuicula";-19,931111;-40,683611
"Ocotea tenuiflora";-19,848333;-40,722222
"Miconia caudigera";-19,338056;-41,557222
"Pilocarpus pauciflorus";-19,931111;-40,683611
"Machaerium cantarellianum";-19,931111;-40,683611
"Mouriri chamissoana";-19,931111;-40,683611
"Cordia rufescens";-19,757222;-40,6875
"Amaioua pilosa";-19,887222;-40,575556
"Miconia dorsaliporosa";-19,931111;-40,683611
"Miconia petroniana";-19,741389;-40,981111
"Miconia capixaba";-19,909167;-40,591667
"Miconia brasiliensis";-19,909167;-40,591667
"Erythroxylum cuspidifolium";-19,874444;-40,826111
"Byrsonima vernicosa";-19,796944;-40,775278
"Myrciaria disticha";-19,874444;-40,826111
"Vochysia santaluciae";-19,836389;-40,553889
"Byrsonima alvimii";-19,836389;-40,553889
"Piptocarpha robusta";-19,287778;-40,656472
"Hyptidendron leucophyllum";-18,466667;-42,6
"Myrcia aurea";-19,916667;-40,6
"Cordia superba";-19,85;-42,133333
"Myrcia curtipendula";-19,916667;-40,6
"Hirtella angustifolia";-19,391111;-40,072222
"Vismia magnoliifolia";-17,8;-42,2
"Abarema brachystachya";-19,389282;-40,064515
"Myrceugenia myrcioides";-19,9167;-40,6
"Ilex integerrima";-20,1;-43,466667
"Eugenia sphenophylla";-18,466667;-43,35
"Persea venosa";-20,126389;-43,492778
"Solanum argenteum";-19,2519;-40,6522
"Peritassa sadleri";-19,85;-40,87
"Coccoloba salicifolia";-18,87;-43,4
"Campomanesia schlechtendaliana";-19,67;-41,83
"Vantanea obovata";-18,87;-43,4
"Kielmeyera petiolaris";-18,97;-43,4
"Aniba canelilla";-19,8469078537136;-42,7768359408608
"Beilschmiedia vestita";-19,43186;-43,43286
"Myrcia isaiana";-19,391111;-40,072222
"Myrcia retorta";-19,391111;-40,072222
"Myrcia ovata";-19,391389;-40,072222
"Croton celtidifolius";-20,716667;-42,483333
"Byrsonima gardneriana";-18,974444;-40,661944
"Eugenia macrantha";-18,230833;-42,865
